Price,Close,High,Low,Open,Volume
Ticker,RSP,RSP,RSP,RSP,RSP
Date,,,,,
2021-02-16,126.23348236083984,126.8114613917288,125.94449284539537,126.72756396299816,949600
2021-02-17,126.16822052001953,126.21483494466531,125.21735453592669,125.83261657718522,1569000
2021-02-18,125.4597396850586,125.7766950384935,124.73260012142494,125.43177387297472,1767400
2021-02-19,126.41062927246094,126.76486765983343,126.06569385683248,126.09365967097433,1586500
2021-02-22,126.625,127.35213939554616,125.84192899321538,125.84192899321538,3109800
2021-02-23,126.96064758300781,127.38946623322038,124.7792286456796,126.49453169598583,3126800
2021-02-24,128.96495056152344,129.15139408635562,126.77421425146916,126.9047261413246,3127000
2021-02-25,125.9631576538086,129.0488426698957,125.45044153793464,128.9183307854449,2648200
2021-02-26,125.10548400878906,126.55044590457844,124.10800354474127,126.29873937731455,3919800
2021-03-01,127.93948364257812,128.60136018380183,126.74622820442872,126.74622820442872,1647800
2021-03-02,127.30554962158203,128.17253243777685,127.072491713158,127.97675753582128,7091100
2021-03-03,126.65299224853516,128.16320296617135,126.65299224853516,127.35216598443726,3769200
2021-03-04,124.92833709716797,127.15636979361581,123.05455691952125,126.62500524013784,4664600
2021-03-05,127.781005859375,128.14457565313697,123.61392902525012,126.56910180525944,4718900
2021-03-08,128.62001037597656,130.27938168449862,127.85557354466364,128.3123722042087,5378700
2021-03-09,128.80645751953125,130.05564463439097,128.70391145937248,129.65479181496048,4569400
2021-03-10,130.13023376464844,130.67092991651575,129.26326501707513,129.32851384632497,4141500
2021-03-11,131.00653076171875,131.78960204212504,130.3446541644925,130.633643740019,2886800
2021-03-12,132.0040283203125,132.02266271447283,130.97856765235997,131.16501116706178,2890300
2021-03-15,133.12269592285156,133.1972761693583,131.5379048025839,132.27436162165577,3732300
2021-03-16,131.89210510253906,132.96417983364313,131.57514981496678,132.93621402737048,2960800
2021-03-17,132.57266235351562,132.6099453587092,131.03447167567955,131.62178213673747,2329200
2021-03-18,131.27687072753906,133.24386589745365,130.99719838131625,132.15315654943845,3131300
2021-03-19,131.0345001220703,131.89215167496477,129.96243923713436,131.25824087598002,4131100
2021-03-22,131.20867919921875,131.6394776905417,130.59992231831032,131.26486906413888,3249100
2021-03-23,129.31689453125,130.98392749297986,128.8954561830204,130.73105876787992,3110600
2021-03-24,129.14830017089844,130.94646174792746,129.14830017089844,129.9537216494245,3069000
2021-03-25,130.70294189453125,130.99326572368804,127.89333432400254,128.74558538342632,4005600
2021-03-26,133.1473388671875,133.24099819563287,131.0963224717355,131.47094549510982,3298800
2021-03-29,132.45425415039062,133.07237122122743,131.7424920718044,132.6602931740029,2355900
2021-03-30,132.70713806152344,132.96000676324797,132.00473611593625,132.09839542484286,3239900
2021-03-31,132.669677734375,133.3346102142869,132.4917336286397,132.87571677360495,5188800
2021-04-01,133.99954223632812,134.0089024496616,132.77268264074647,133.11919630931172,4569200
2021-04-05,135.217041015625,135.41370552756538,134.64575361598534,135.02972242657438,2611300
2021-04-06,135.39500427246094,135.76961292280157,135.076571200227,135.1327610687377,2715600
2021-04-07,134.88925170898438,135.5729188496707,134.54273803185885,135.4698993388493,2521700
2021-04-08,135.14212036132812,135.17021529242095,134.32732448842953,135.13274585736227,2442900
2021-04-09,135.91943359375,135.9475285221132,135.02035301492424,135.33877172997464,2340100
2021-04-12,136.15359497070312,136.22851955824262,135.65723208235738,135.93818142262563,1682800
2021-04-13,135.91943359375,136.16292773636482,135.22639201652177,135.84450902131442,2648000
2021-04-14,136.13487243652344,136.81853970971042,135.8820037172441,135.95692831149,2033500
2021-04-15,137.20249938964844,137.2867841848328,136.32215342109342,136.7997958412769,2824300
2021-04-16,137.8112335205078,138.04536746416508,137.4272647136153,137.87679788412473,1578600
2021-04-19,137.16506958007812,137.68952745641326,136.76235166691734,137.65205801358627,1987600
2021-04-20,136.1442108154297,136.92153727934826,135.61975303023232,136.83725248324214,3054400
2021-04-21,137.94236755371094,137.9985717121107,135.90072613437272,136.0505753092977,3009300
2021-04-22,137.07138061523438,138.41061995331583,136.71549243738235,138.02665113502536,2459100
2021-04-23,138.5511016845703,138.93508477327183,137.1462980540636,137.2867727009537,1597400
2021-04-26,138.7852783203125,139.2254514031894,138.51367486556416,138.79463853618432,1721400
2021-04-27,138.9351348876953,139.0662493688867,138.4668668419537,138.7852856833604,1416700
2021-04-28,138.97256469726562,139.31907841498588,138.7477909317583,139.0381290711068,1678200
2021-04-29,139.88099670410156,140.03084587148712,138.86017604579342,139.72178732265562,2276800
2021-04-30,138.86953735351562,139.48765445604658,138.52302365531034,139.22542555625827,1766000
2021-05-03,139.69369506835938,140.30243767322997,139.32844664735632,139.6749603494762,2499100
2021-05-04,139.5345001220703,139.54386033727874,138.27017083909408,139.20670681451207,3329900
2021-05-05,139.82481384277344,140.22751742359003,139.01001788580328,139.9465537932694,2963500
2021-05-06,140.53659057617188,140.59278044998797,138.95384244179382,139.8341885726601,2270800
2021-05-07,142.01629638671875,142.0912209699176,140.17131961035594,140.3679984275533,3671100
2021-05-10,141.53866577148438,143.149508556095,141.46374118959517,142.39090252336797,4154400
2021-05-11,139.8341522216797,140.63957354794718,138.61665287401001,140.04955144544843,4273700
